model,split,n,local_fit_n,local_calibration_n,vmin_rmse,vmin_mae,vmin_r2,loss_rmse_kw,loss_mae_kw,loss_r2
Zero-shot ensemble,same external test,720,0,0,0.4406375072895703,0.4404903172618813,-290.13470747993665,1113796.6986757447,953620.2969627064,-227830702.6493083
64 fit + 16 calibration,same external test,720,64,16,0.0046711865851452,0.0031512084106604,0.9672820948332544,8.299796072016528,4.697086628278097,0.9873486974312256
